actor_id,actor_name
975133,Wade Dominguez
188642,Bruklin Harris
289,Madeleine Stowe
287,Brad Pitt
290,Christopher Plummer
52,David Morse
288,Jon Seda
291,Frank Gorshin
975569,Joseph Melito
1273540,Aaron Michael Lacey
22227,Christopher Meloni
4138,Craig Sheffer
4513,Elizabeth McGovern
3999,Tom Hulce
58406,Ken Pogue
554094,Ron Sauvé
156330,Freddy Andreiuci
58136,Christine Cavanaugh
6199,Miriam Margolyes
1331,Hugo Weaving
35109,Miriam Flynn
2505,James Cromwell
6035,Russi Taylor
1080206,Evelyn Krape
1080207,Michael Edward-Stevens
1229258,Charles Bartlett
378,Jonathan Pryce
27764,Steven Waddington
17328,Rufus Sewell
1249,Penelope Wilton
47627,Janet McTeer
18325,Jeremy Northam
83701,Alex Kingston
186389,Richard Clifford
4038,Susan Sarandon
2228,Sean Penn
10360,Robert Prosky
8655,R. Lee Ermey
1989,Celia Weston
2207,Lois Smith
6914,Scott Wilson
10362,Roberta Maxwell
452,Margo Martindale
1467084,Peter Reznick
1467085,John McDonough
1467086,Avi Hoffman
19208,Matt Malloy
1218074,Abby Lewis
1796,Kirstie Alley
26472,Steve Guttenberg
67848,Ashley Olsen
67849,Mary-Kate Olsen
92255,Jane Sibbett
6541,Philip Bosco
1331570,Michelle Grisom
1329538,Desmond Robertson
1331571,Tiny Mills
1331572,Shanelle Henry
5588,Alicia Silverstone
58150,Stacey Dash
328,Brittany Murphy
22226,Paul Rudd
49002,Donald Faison
58151,Elisa Donovan
33654,Breckin Meyer
23958,Jeremy Sisto
6486,Dan Hedaya
15152,James Earl Jones
17764,Charles S. Dutton
123831,Jack Robinson
123833,Tsholofelo Wechoemang
123834,Ramalao Makhene
194,Richard Harris
89307,Dolly Rathebe
111179,Jennifer Steyn
1035098,Ian Roberts
1073473,David Clatworthy
1327,Ian McKellen
388,Jim Broadbent
5470,Kristin Scott Thomas
42566,Adrian Dunbar
10978,Maggie Smith
41043,Tim McInnerny
3223,Robert Downey Jr.
3545,Edward Hardwicke
15788,Nigel Hawthorne
18291,Larenz Tate
65827,Keith David
66,Chris Tucker
6862,Freddy Rodríguez
69447,Rose Jackson
10824,N'Bushe Wright
58924,Clifton Powell
18288,Terrence Howard
71913,Bokeem Woodbine
1277051,Sticky Fingaz
5344,Meg Ryan
4783,Sam Neill
11207,David Thewlis
6416,Polly Walker
27762,Ian McDiarmid
97170,Mary MacLeod
1229022,Willie Ross
38559,Christopher Lambert
57250,Robin Shou
57251,Linden Ashby
11398,Cary-Hiroyuki Tagawa
20751,Bridgette Wilson
10680,Talisa Soto
57252,Trevor Goddard
57253,Chris Casamassa
57254,François Petit
57255,Keith Cooke
2227,Nicole Kidman
2876,Matt Dillon
73421,Joaquin Phoenix
1893,Casey Affleck
7796,Illeana Douglas
2841,Alison Folland
4201,Wayne Knight
224,David Cronenberg
2115,Kurtwood Smith
1920,Winona Ryder
10774,Anne Bancroft
9560,Ellen Burstyn
18794,Kate Nelligan
14500,Jean Simmons
54424,Maya Angelou
1981,Alfre Woodard
689,Kate Capshaw
192,Morgan Freeman
12052,Gwyneth Paltrow
11885,John C. McGinley
1979,Kevin Spacey
6487,Richard Roundtree
31028,Richard Schiff
1558263,Julie Araskog
534,Mark Boone Junior
65529,Irene Bedard
2461,Mel Gibson
28010,David Ogden Stiers
31365,John Kassir
3203,Russell Means
3894,Christian Bale
110316,Judy Kuhn
12516,Linda Hunt
9188,Billy Connolly
54818,Pascale Bussières
54819,Rachael Crawford
15319,Henry Czerny
20173,Don McKellar
9045,Stephen Baldwin
5168,Gabriel Byrne
9046,Chazz Palminteri
4935,Pete Postlethwaite
2179,Suzy Amis
4808,Giancarlo Esposito
1121,Benicio del Toro
74375,Cynthia Rothrock
63941,Marshall R. Teague
1093379,Daniel McVicar
42137,Lydie Denier
53552,John O'Leary
112159,Art Camacho
62715,Robert Miano
1243,Woody Allen
23931,Mira Sorvino
1283,Helena Bonham Carter
1164,F. Murray Abraham
10560,Donald Symington
29545,Claire Bloom
3019,Olympia Dukakis
4688,Michael Rapaport
5251,Jack Warden
27392,Enrico Lo Verso
25819,Michele Placido
1149435,Piro Milkani
1180060,Carmelo Di Mazzarelli
1904515,Marjeta Ljarja
46423,Olivia d'Abo
6067,Jay O. Sanders
8659,John Terry
69395,Bug Hall
148587,Jessica Robertson
69740,Patrick Renna
21735,Billy L. Sullivan
88599,Chauncey Leopardi
137391,Jordan Brower
10431,Jennifer Jason Leigh
51544,Mare Winningham
15854,Ted Levine
7268,Max Perlich
42746,John Doe
4764,John C. Reilly
590356,Jimmy Witherspoon
52308,Jason Carter
198643,Johnny Morina
56890,Malcolm McDowell
41743,Maggie Castle
1569328,James Rae
11086,Michael Ironside
1466,Charles Durning
6194,Claire Danes
32597,Dylan McDermott
400,Geraldine Chaplin
11064,David Strathairn
65528,Cynthia Stevenson
24366,Philippe Noiret
67792,Massimo Troisi
10777,Maria Grazia Cucinotta
14149,Renato Scarpa
538696,Linda Moretti
24290,Mariano Rigillo
225301,Anna Bonaiuto
1351952,Simona Caparrini
1352578,Carlo Di Maio
1352580,Nando Neri
38524,Lothaire Bluteau
1019878,Patrick Goyette
1019879,Jean-Louis Millette
223877,Ron Burrage
69301,Hal Scardino
69302,Litefoot
32225,Lindsay Crouse
28633,Richard Jenkins
1318612,Rishi Bhat
4581,Steve Coogan
18181,David Keith
34200,Sakina Jaffrey
52646,Vincent Kartheiser
14331,Nestor Serrano
35,Sally Field
2628,Kiefer Sutherland
821,Beverly D'Angelo
33689,Charlayne Woodard
3266,Joe Mantegna
27261,Olivia Burnette
157108,Alexandra Kyle
4492,Philip Baker Hall
21104,Glenne Headly
21105,Jay Thomas
3905,William H. Macy
3128,Alicia Witt
21107,Nicholas John Renner
21108,Joseph Anderson
21109,Anthony Natale
26495,Jean Louisa Kelly
35690,Shawn Wayans
9562,Marlon Wayans
66131,Tracey Cherelle Jones
27590,Chris Spencer
2535,Vivica A. Fox
66132,Rappin' Granny
1214127,Suli McCullough
1897,Bernie Mac
62066,Faizon Love
35689,Keenen Ivory Wayans
18277,Sandra Bullock
5724,Denis Leary
5050,Yaphet Kotto
8435,Stephen Dillane
191140,Julia Montgomery Brown
1183958,Claire Rankin
1362948,Jane Moffat
5170,Mike Starr
17243,Jonathan Tucker
64998,Pauly Shore
16484,Joey Lauren Adams
43433,Teresa Hill
7676,William Atherton
57868,Dara Tomanovich
57869,Kevin West
23970,Denise Dowse
12207,Kylie Minogue
22297,Kyle Gass
29459,Patrick Bergin
40009,Matt Frewer
58119,Austin O'Brien
36898,Ely Pouget
72612,Camille Cooper
1192629,Patrick LaBrecque
1384185,Crystal Celeste Grant
1384186,Sean P. Young
1221555,Mathew Valencia
27116,Kevin Conway
124150,Jerry Barone
